russian,polish,type,tense,aspect,subject,preposition
вернулся,wróciłeś,action/walking,past,perfective,you,inside
вернулся,wrócił,action/walking,past,perfective,he,inside
вернулась,wróciła,action/walking,past,perfective,she,inside
вернулось,wróciło,action/walking,past,perfective,it,inside
вернулись,wróciliśmy,action/walking,past,perfective,we/m,inside
вернулись,wróciłyśmy,action/walking,past,perfective,we/f,inside
вернулись,wróciliście,action/walking,past,perfective,you/m,inside
вернулись,wróciłyście,action/walking,past,perfective,you/f,inside
вернулись,wrócili,action/walking,past,perfective,they/m,inside
вернулись,wróciły,action/walking,past,perfective,they/f,inside
,,,,,,
подошел,podszedłem,action/walking,past,perfective,i,close-to
подошел,podszedłeś,action/walking,past,perfective,you,close-to
подошел,podszedł,action/walking,past,perfective,he,close-to
подошла,podeszła,action/walking,past,perfective,she,close-to
подошло,podeszło,action/walking,past,perfective,it,close-to
подошли,podeszliśmy,action/walking,past,perfective,we/m,close-to
подошли,podeszłyśmy,action/walking,past,perfective,we/f,close-to
подошли,podeszliście,action/walking,past,perfective,you/m,close-to
подошли,podeszłyście,action/walking,past,perfective,you/f,close-to
подошли,podeszli,action/walking,past,perfective,they/m,close-to
подошли,podeszły,action/walking,past,perfective,they/f,close-to
,,,,,,
обошел,obszedłem,action/walking,past,perfective,i,place
обошел,obszedłeś,action/walking,past,perfective,you,place
обошел,obszedł,action/walking,past,perfective,he,place
обошла,obeszła,action/walking,past,perfective,she,place
обошло,obeszło,action/walking,past,perfective,it,place
обошли,obeszliśmy,action/walking,past,perfective,we/m,place
обошли,obeszłyśmy,action/walking,past,perfective,we/f,place
обошли,obeszliście,action/walking,past,perfective,you/m,place
обошли,obeszłyście,action/walking,past,perfective,you/f,place
обошли,obeszli,action/walking,past,perfective,they/m,place
обошли,obeszły,action/walking,past,perfective,they/f,place
,,,,,,
дошел,doszedłem,action/walking,past,perfective,i,up-to
дошел,doszedłeś,action/walking,past,perfective,you,up-to
дошел,doszedł,action/walking,past,perfective,he,up-to
дошла,doszła,action/walking,past,perfective,she,up-to
дошло,doszło,action/walking,past,perfective,it,up-to
дошли,doszliśmy,action/walking,past,perfective,we/m,up-to
дошли,doszłyśmy,action/walking,past,perfective,we/f,up-to
дошли,doszliście,action/walking,past,perfective,you/m,up-to
дошли,doszłyście,action/walking,past,perfective,you/f,up-to
дошли,doszli,action/walking,past,perfective,they/m,up-to
дошли,doszły,action/walking,past,perfective,they/f,up-to
,,,,,,
отошел,odszedłem,action/walking,past,perfective,i,from-outside
отошел,odszedłeś,action/walking,past,perfective,you,from-outside
отошел,odszedł,action/walking,past,perfective,he,from-outside
отошла,odeszła,action/walking,past,perfective,she,from-outside
отошло,odeszło,action/walking,past,perfective,it,from-outside
отошли,odeszliśmy,action/walking,past,perfective,we/m,from-outside
отошли,odeszłyśmy,action/walking,past,perfective,we/f,from-outside
отошли,odeszliście,action/walking,past,perfective,you/m,from-outside
отошли,odeszłyście,action/walking,past,perfective,you/f,from-outside
отошли,odeszli,action/walking,past,perfective,they/m,from-outside
отошли,odeszły,action/walking,past,perfective,they/f,from-outside
