russian,polish,type,tense,subject,preposition
обошли,obeszły,action/walking,past,they/f,place
,,,,,
дошел,doszedłem,action/walking,past,i,up-to
дошел,doszedłeś,action/walking,past,you,up-to
дошел,doszedł,action/walking,past,he,up-to
дошла,doszła,action/walking,past,she,up-to
дошло,doszło,action/walking,past,it,up-to
дошли,doszliśmy,action/walking,past,we/m,up-to
дошли,doszłyśmy,action/walking,past,we/f,up-to
дошли,doszliście,action/walking,past,you/m,up-to
дошли,doszłyście,action/walking,past,you/f,up-to
дошли,doszli,action/walking,past,they/m,up-to
дошли,doszły,action/walking,past,they/f,up-to
,,,,,
отошел,odszedłem,action/walking,past,i,from-outside
отошел,odszedłeś,action/walking,past,you,from-outside
отошел,odszedł,action/walking,past,he,from-outside
отошла,odeszła,action/walking,past,she,from-outside
отошло,odeszło,action/walking,past,it,from-outside
отошли,odeszliśmy,action/walking,past,we/m,from-outside
отошли,odeszłyśmy,action/walking,past,we/f,from-outside
отошли,odeszliście,action/walking,past,you/m,from-outside
отошли,odeszłyście,action/walking,past,you/f,from-outside
отошли,odeszli,action/walking,past,they/m,from-outside
отошли,odeszły,action/walking,past,they/f,from-outside
,,,,,
магазин,sklep,place,,,place
в магазин,do sklepu,place,,,inside
из магазина,ze sklepu,place,,,from-inside
к магазину,do sklepu,place,,,close-to
до магазина,do sklepu,place,,,up-to
от магазина,od sklupu,place,,,from-outside
,,,,,
кафе,kawiarnię,place,,,place
в кафе,do kawiarni,place,,,inside
из кафе,z kawiarni,place,,,from-inside
к кафе,do kawiarni,place,,,close-to
до кафе,do kawiarni,place,,,up-to
от кафе,od kawiarni,place,,,from-outside
,,,,,
,,,,,
работу,pracę,place,,,place
на работу,do pracy,place,,,inside
с работы,z pracy,place,,,from-inside
к работе,do pracy,place,,,close-to
до работы,do pracy,place,,,up-to
от работы,od pracy,place,,,from-outside
,,,,,
вокзал,dworzec,place,,,place
на вокзал,do dworca,place,,,inside
с вокзала,z dworca,place,,,from-inside
к вокзалу,do dworca,place,,,close-to
до вокзала,do dworca,place,,,up-to
от вокзала,od dworca,place,,,from-outside
,,,,,
офис,biuro,place,,,place
в офис,do biura,place,,,inside
из офиса,z biura,place,,,from-inside
к офису,do biura,place,,,close-to
до офиса,do biura,place,,,up-to
от офиса,ob biura,place,,,from-outside
